id,title,creator,creatorBio,creatorAvatar,tagline,description,category,imageUrl,mediaUrls,team,socialLinks,videoGenerationState,goal,pledged,backers,fundingVelocity,faq,rewards,city,country,anticipationScore,impactScore,efficiencyScore,problems,isFeatured,documents
proj-011,Overtapped: Telegram Mini Game,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,Cooperative Adventure/Quest Game on Telegram.,,Game,https://drive.google.com/file/d/1Z_tAlSewipu2dqtMArWH_aIeGFx_vqKc/view?usp=sharing,"[
{""type"":""image"",""url"":""https://drive.google.com/file/d/1O5wy8UBXlPljCBOfLNSQ-beNxR4fthlq/view?usp=drive_link""},
{""type"":""image"",""url"":""https://drive.google.com/file/d/1ME_4yQ9BKDddQBnxcJLXhmxpePPgrzxi/view?usp=drive_link""}, {""type"":""video"",""url"":""https://drive.google.com/uc?export=download&id=1fAci5Y9o8LFFhi8hn6-qOOwF0JoQxmKR""}, {""type"":""video"",""url"":""https://drive.google.com/file/d/1OWz5eWP_fy0r7Noe2UPxDT1Ayq3syY82/view?usp=drive_link""}
]",,,,,,,,,,,,,,,,yes,
proj-012,Второе дыхание,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,,,http://creativeportal.up.railway.app/media/project_photos/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0_2025-08-29_%D0%B2_12.10.28.png,,,,,,,,,,,,,,,,,,
proj-013,PIPEEYE,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"**PIPEEYE** - это устройство для диагностики и телеинспекции водопроводных труб, нацеленная на удешевление и улучшения данного процесса. PIPEEYE невероятно универсален и эффективен так как является автономным и совмещает в себе различные технологии, технологию MFL и ультразвукового сканирования.

**Целевая аудитория**
Водоканалы городов",,http://creativeportal.up.railway.app/media/project_photos/2025-09-01_17.15.51.jpg,,,,,,,,,,,,,,,,,,
proj-014,Не смотрите вниз,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"**Конкурс на роспись люков Астаны (в дальнейшем и всего Казахстана). **Принимаются работы на бумаге или в диджитал для иллюстрации задумки молодежи по разработке уникальных арт объектов в виде люков городских сетей.

**Целевая аудитория**
Художники, компании, молодежь",,http://creativeportal.up.railway.app/media/project_photos/2025-09-01_17.16.21.jpg,,,,,,,,,,,,,,,,,,
proj-015,Future Problem Solving Program International,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"**Future Problem Solving** — это глобальное движение, которое с 1974 года помогает школьникам по всему миру развивать навыки аналитического мышления, креативности и лидерства.
Программа представлена в 12 странах, охватив более 1 000 000 учеников, ежегодный финальный этап проводится в США на конференции в Indiana University

**Целевая аудитория**
Школьники 9-11(12) классы
Студенты колледжей 1-2 курсы",,http://creativeportal.up.railway.app/media/project_photos/2025-09-01_17.41.29.jpg,,,,,,,,,,,,,,,,,,
proj-016,STEM Racing,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"**STEM Racing** — международный чемпионат для школьников 9–19 лет.
Команды из 3–6 человек создают мини-болид Формулы-1, разрабатывают дизайн, портфолио и презентуют проект. Победители национального этапа представляют страну на
мировом финале.

STEM Racing проводится в более чем 50 странах мира, включая: Великобританию, США, Германию, Австралию, Китай, ОАЭ, Сингапур, Японию, Индию и другие.

**Целевая аудитория**
Школьники 9-11(12) классы
Студенты колледжей 1-2 курсы
Школы с техническим оснащением",,http://creativeportal.up.railway.app/media/project_photos/2025-09-01_21.37.02.jpg,,,,,,,,,,,,,,,,,,
proj-017,Umit,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"**Úmit** — это интерактивная капа, позволяющая людям с инвалидностью управлять цифровыми устройствами и инвалидной коляской с помощью движений головы и языка. Устройство интегрировано с искусственным интеллектом, который адаптируется под пользователя, распознаёт шаблоны движений и снижает когнитивную и физическую нагрузку за счёт автоматической навигации. Úmit возвращает независимость, доступ к знаниям и участие в жизни общества.

**Целевая аудитория**
**Пользователи**
1. Люди с параличом верхних и нижних конечностей, включая полный паралич
2. Люди с ДЦП, СМА, мышечной дистрофией
3. Перенёсшие инсульт, черепно-мозговые травмы, рассеянный склероз
4. Люди с ампутациями и врождёнными нарушениями
5. Люди, утратившие голос и возможность двигать руками

**Клиенты**
- Родители и опекуны
- Медицинские и реабилитационные центры
- Инклюзивные школы и онлайн-образовательные платформы

**Партнёры и влиятельные группы**
- Благотворительные фонды, НПО, государственные структуры
- Технологические компании и производители assistive tech
- Работодатели и организации, продвигающие принципы инклюзии
СМИ и цифровые платформы, специализирующиеся на проектах для людей с особыми потребностями и доступных решениях (например, маркетплейсы и краудфандинговые площадки)",,http://creativeportal.up.railway.app/media/project_photos/2025-09-01_17.40.20.jpg,,,,,,,,,,,,,,,,,,
proj-018,BozBoz,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"Набор для обучения вязанию для начинающих в степной стилистике

**Целевая аудитория**
Пользователи: Дети с 4 лет, Подростки
Молодые люди, которые хотят научиться вязать
Клиенты: ритейл, ярмарки, фонды, компании, школы, аэропорты",,http://creativeportal.up.railway.app/media/project_photos/2025-09-01_17.41.36.jpg,,,,,,,,,,,,,,,,,,
proj-019,Janaiqai Comics,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"**Janaiqai comics** - проект, посвященный насилию над
детьми в Центральной Азии.

В нашем онлайн комиксе 50 страниц, включающих 8 анонимных историй со всей Центральной Азии, руководство по помощи детям с травмой от @jarqyn.project , странички о тревожности и терминологии, стихотворение «Алло, мам»

Целевая аудитория
Дети 11-18 лет и их родители",,https://creativeportal.up.railway.app/media/project_photos/2025-09-01_17.39.27.jpg,,,,,,,,,,,,,,,,,,
proj-020,New Wave,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,,"**NewWave.kz** — это национальный музыкальный конкурс для молодых исполнителей, направленный на открытие новых имён, развитие локальной музыкальной сцены и исследование потенциала ИИ в музыке. Конкурс объединяет жанры от попа до неоклассики, проходит в несколько этапов (онлайн и офлайн), включает публичное голосование, профессиональное жюри и менторский буткемп, и завершается живым финалом с награждением.

**Целевая аудитория**
Наша аудитория — это начинающие музыканты и продюсеры от 15 до 35 лет, которые пишут музыку дома, ищут сцену и сообщество.",Tech,http://creativeportal.up.railway.app/media/project_photos/2025-09-01_22.08.30.jpg,,,,,,,,,,,,,,,,,,
proj-021,APhB & NChB,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVgPimc_RQYYbUhV3A_xER8GPifFju7nveLA&s,"Турнир по
физике и химмии, совмещающий формат олимпиад и
научных дебатов.","**Almaty/Astana Physics Battles (APhB)** —
единственный в Центральной Азии турнир по
физике, совмещающий формат олимпиад и
научных дебатов. Поддерживается
Министерством образования в Казахстане.
**NChB (National Chemical Battles)** - те же физбои,
но по химии.",,https://drive.google.com/file/d/1ue4vIKcGsENFm5oom_5_v8CkVTs8BSXA/view?usp=drive_link,,,,,,,,,,,,,,,,,,"[
  {""title"": ""Аналитическая справка"", ""url"": ""https://drive.google.com/file/d/1IgKxWcKboB94rjct-Xomx89smgp7vBY-/view?usp=drive_link""}
]"
